origin,Travel Mangroove Forests,Apartemen Taman Melati,Waduk Setia Budi Timur,Aqua Fun,Jalan Pantai Karnaval Ancol,Key Park ( butterfly and rabbits),National Monument,Komodo Indonesian Fauna Museum and Reptile Park,Antara Gallery of Photo Journalism,Museum Of M. H. Thamrin,Taman Bmw,Museum Kehutanan Manggala Wanabakti,Allianz Eco Park,Al-Bina Mosque,Pancasila Sakti Monument,Taman Dadap Merah,Satriamandala Museum,Formulation of Proclamation Text Museum,Tugu Kunstkring Paleis,Irian Jaya Liberation Monument,National History Museum,Bentara Budaya Jakarta,Grand General Dr. A. H. Nasution Memorial Museum,Mausoleum OG Khouw,Taman Langsat,Proclamation of Independence Monument,Port of Tanjung Priok,National Museum,Museum Bank Indonesia,Taman Kodok Menteng,Palm Bay Water Park,CX WATER PARK,Tabebuya Park,Theater Garuda Taman Bhinneka Tunggal Ika,Jalan Jaksa,Musholla Pasar Malam CNI,Trans Snow World Juanda,Tribeca Park,Taman Maju Bersama,Taman Impian Jaya Ancol,Sea World Ancol,Sion Church,Situ Pamulang,Cibubur Park,Museum Perangko Indonesia,Ruang Pameran Mobil Antik Museum Joang 45,Taman Prasasti Museum,Museum Layang-layang Indonesia,Merdeka Square Jakarta,SS Waterpark TMII,Srengseng City Forest,Putri Duyung Waterpark,Pondok Indah Water Park,Ancol Beach Pool,Bridge of Love Taruma Jaya,Museum of East Timor,Art:1 New Museum,Taman Burung TMII,Taman Spatodhea,Basoeki Abdullah Museum,Museum Telekomunikasi,Universitas Indonesia - Danau Kenanga,East Java Pavilion,Taman Lapangan Banteng,Waterbom Pantai Indah Kapuk,Museum Kebangkitan Nasional,Museum Polri,Taman Ayodya,Waduk Pluit,Children Zoo,Taman Dukuh,Taman Wisata Alam Mangrove Angke Kapuk,Schmutzer Primate Center,Benteng Heritage Museum,Taman Menteng,Onrust Island,Muara Angke Wildlife Refuge,Church of Maria Bunda Karmel,Masjid Agung At Tin,Ants sculpture JGC,Museum Olahraga TMII,Taman Rusa Kemang Pratama,Parks Agro Tourism Cilangkap,Taman Pandang Istana,Sangga Buana,Kastil Batavia,Atlantis Water Adventure,Tugu Tani,Taman Buaya Tanjung Pasir,Pasar Seni,Nurul Iman Mosque Blok M Square,GREEN LAKE VIEW WATERPARK,Taman Suropati,Yerushalayim Bible Artefacts Museum,Hutan Kota Patriot Bina Bangsa Kota Bekasi,GO! Splash waterpark,Taman O,Kosan Muslimah Taman Cempaka,Museum of Fine Art and Ceramics,Museum of Textile,Waterpark Transera,Ragunan Zoo,Hutan Kota GBK,Setu Asih Pulo,Salihara Arts Center,Monas Dancing Fountain,Monumen Patung Dirgantara,Central Java Pavilion,Museum Sumpah Pemuda,Taman Potret,Setu Pedongkelan,Ocean Dream Samudra - Ancol,COMO Park,Eldorado Waterpark Legenda Wisata,Situ Gede Tangerang,Taman Swakarsa,Taman Gajah Tunggal,Taman Wisata Pasir Putih,Taman Mini Indonesia Indah,Taman Tangkuban Perahu,SnowBay Waterpark TMII,Dharma Bhakti Temple,Merdeka Palace,Venetian Water Carnaval,Taman Pemuda Pratama,skyrink Jakarta - Mall Taman Anggrek,Wayang Museum,Pondok Zidane,Sirkus Indoor Waterpark,Pelabuhan Perikanan Samudera Nizam Zachman,Taman Lembah Gurame,Taman Gunung Balong,Jakarta History Museum,Dunia Serangga,Pulau Bidadari,Kampung Main Cipulir,Curug Parigi,Sasmita Loka Ahmad Yani Museum,Taman Waduk Pluit,Taman Kota "Cattleya",Jakarta Planetarium,Masjid Al-Bakrie Taman Rasuna Jakarta,IMAGISPACE,Kidzania Jakarta,Setu Babakan,Taman Ria Atmaja,Playparq Kemang,Arina WaterPark,Museum Reksa Artha,Bartele Gallery,Taman Sepat,GONDOLA ANCOL STASIUN C,Dinosaur Adventure,Aditya Jaya Temple,Museum Pusaka,Danau Hutan Kota Kemayoran,Bayt Al Quran dan Museum Istiqlal,Taman Budaya Tionghoa,Danau Sunter Barat,Museum Keprajuritan Indonesia,Planetarium skyworld tmii,HUTAN KOTA WADUK CINCIN,Pasar Barang Antik,Indonesia Museum,Purna Bhakti Pertiwi Museum,Galeria Sophilia,Depok Fantasi Waterpark - Aladdin,JPG MTB PARK (MTB MEETING POINT) Jalur Pipa Gas MTB Community,Pesona Aquarium Kebagusan,Jakarta Cathedral,Taman Situ Lembang,Museum MACAN (Modern and Contemporary Art in Nusantara),Mangrove Ecotourism Centre PIK,Jakarta Bahari Museum,Pura Agung Tirta Bhuana Bekasi,National Gallery of Indonesia,Dunia Fantasi,Museum Listrik & Energi Baru TMII,Akili Museum of Art,Sarmiento Parakantja Timber,Jalan Gedung Kesenian,Taman Puring Market,Nofri kasur,Marunda Beach,Museum Transportasi,Pusat Peragaan Iptek - Kemenristekdikti,Kandank Jurank Doank,Taman Elektrik,Taman Ismail Marzuki,Dia.lo.gue,Boen Tek Bio Chinese Temple,Air Mancur Waduk Grogol,Istiqlal Mosque,Trans Studio Theme Park Cibubur,Taman Herbal Insani,UI Park,Museum Mandiri,Akses Hutan Lindung Angke Kapuk,Selamat Datang Monument,Jakarta,Pusat Kebudayaan Belanda Erasmus Huis,Museum Tragedi 12 Mei 1998 Universitas Trisakti
Travel Mangroove Forests,0,54682,43132,35001,36326,23794,38451,56141,37907,40687,38361,36701,34090,39482,55263,47632,41641,42968,39800,36998,1284369,37527,42487,36084,34336,50082,42161,37904,31422,43291,18701,51435,44005,55158,38357,23727,65469,31492,52200,32467,34975,32857,43124,63076,55798,39261,37951,40001,37886,55329,29783,57045,35856,35460,57479,3128644,34789,52939,45886,37917,49530,53802,816706,37630,19470,39817,41183,34478,30145,42068,48453,14122,43775,20689,41748,7731,20689,30863,52926,55204,49385,62845,55451,36556,1629920,31024,34596,38644,6393,1639164,35249,68848,42352,41809,61995,64082,52680,53193,31377,37365,64751,41931,40186,54360,42895,37911,42538,55632,40487,22709,54202,34770,42096,72482,23618,56284,22405,57067,49274,39953,54023,32049,1752537,68775,49113,31784,31238,58480,55719,32945,52012,40125,31692,56159,7731,32174,60893,39987,30570,37852,39807,46267,34078,39008,50407,55668,43335,53638,38411,40995,44521,34870,56009,48705,56132,37653,53242,55995,39708,56110,54183,38152,43471,54008,53305,38876,59685,45754,42360,37124,43071,29258,18855,30477,59217,38317,33332,55761,25863,1174959,36686,33579,-1,51997,55657,55839,40005,19675,40146,42434,20773,31175,37246,61857,56408,54029,31373,24200,41046,42182,40851,32364
Apartemen Taman Melati,49698,0,22246,46348,47673,42415,25039,26345,26977,36420,41803,21151,46929,21784,25474,6146,17174,20434,21325,26468,1289467,21984,21871,21783,20786,19657,47258,24187,31234,21131,34720,9411,7095,25362,24505,28418,42499,24591,12027,35007,46625,33694,22008,13525,26001,25409,25257,14463,24473,25533,26676,15262,17631,46806,60609,3105552,43308,24776,5856,12932,24330,2858,793613,26471,38569,38374,19793,17889,32684,10821,12278,36578,9167,44039,22865,45620,40023,28593,23129,47727,24185,34226,10937,26693,1606827,33564,46823,21813,53037,1644262,17980,9731,20355,42114,39025,53181,7178,12615,32212,23064,49769,7074,21308,12577,11484,24498,14101,25836,37065,41936,3834,46117,12350,24476,43647,34388,42167,13183,23349,19796,24226,31326,1729444,45804,8093,24883,31535,14596,27556,35484,7260,14586,31503,26363,45620,24203,26073,19996,33110,23478,21365,17950,19997,19090,4297,25872,13590,28964,12873,22112,7769,46519,26213,34802,26336,41956,23445,26199,38803,26313,24394,42567,20278,24212,23508,40665,9298,33544,11112,39760,20278,29028,39176,33017,36029,40035,35871,25964,33625,1151866,27013,21130,-1,55128,25861,26043,27794,41373,21703,12688,43968,28510,26389,13850,20131,3085,31185,38705,22163,19527,16425,25482
Waduk Setia Budi Timur,36291,24067,0,22424,23749,31707,4990,21117,6929,6424,13291,6024,21513,6658,20240,20769,6609,4037,4612,6420,1263364,6857,3556,6656,7132,5943,21156,4138,8644,4360,24477,22475,17361,20135,4457,16295,30446,9475,22741,19891,22399,11104,23118,28052,20774,5360,5209,15562,4425,20306,10999,30401,11020,22883,33821,3093621,10273,20243,19242,14031,19103,23187,781682,6423,19899,5917,5960,7579,17568,15619,19166,22443,17325,33330,2817,32213,20898,13477,17902,35891,18958,27821,25992,6645,1594896,10059,22020,4743,39630,1618159,7097,33824,3421,18224,26971,41128,26930,23734,9622,5637,37933,15482,6002,27716,11910,4450,7515,20609,7069,31227,27629,22194,10111,37458,32939,21260,31459,30423,18122,3584,18999,8119,1717513,33751,22469,9767,8945,31836,26259,20368,25368,15685,8913,21136,32213,10732,33403,3618,17994,8362,4651,5821,9241,3784,23679,20645,8872,30074,13972,2064,25846,22293,20985,10922,21109,13067,18218,20972,12281,21086,19159,14752,4540,18985,18281,9284,39830,27746,15910,7402,4140,13363,19064,17900,22523,7110,20755,20737,15126,1139935,6964,7245,-1,28339,20634,20815,21996,31130,4990,10620,33260,13393,6341,26833,36402,23414,8595,24570,2115,5813,5818,10365
Aqua Fun,31918,43536,22062,0,1569,40820,11040,31121,10391,19399,4958,19535,3301,22316,30244,38960,24476,20814,12600,9483,1253117,20361,13538,18918,25190,18929,10909,12902,7708,21330,24151,32479,43002,30138,13595,24907,40556,15808,32744,5114,2997,8097,44305,38056,30778,12061,11895,41240,11687,30309,21828,56043,26772,427,24281,3103731,8061,30247,38745,39097,29107,42656,791793,10115,15525,11104,24017,25637,10019,37614,29170,18069,39425,32838,13557,27840,16525,19920,27906,22006,28962,37932,35995,11353,1605006,8151,3196,11443,35257,1607912,25154,43828,20834,10656,37082,30884,36934,33737,9678,20199,33598,37496,23020,53358,31147,11712,25372,30612,20044,40341,37633,2490,27978,47462,33895,27979,40572,56737,28126,21091,29003,9852,1727623,43862,48973,16101,8009,58150,38731,12490,50814,41363,7977,31139,27840,25096,43656,21345,11263,20686,12607,21401,24993,21842,43148,30648,26739,54818,39650,14102,35849,2891,30989,17552,31112,7057,28222,30976,9113,31090,29163,6900,20543,28988,28285,8280,49833,46934,37906,9608,20658,19806,14691,8910,31994,10802,4461,30741,27043,1150045,9171,25302,-1,18799,30638,30819,41185,30940,12946,28487,32922,12400,9731,36837,57589,42883,7659,20196,13922,19576,23685,16681
Jalan Pantai Karnaval Ancol,31581,43199,21725,2027,0,40484,10704,30784,10055,19062,4621,19199,2964,21979,29907,38623,24139,20477,12264,9146,1252780,20024,13201,18581,24853,18592,10572,12565,7371,20993,23814,32142,42666,29802,13258,24571,40219,15472,32407,4778,2661,7760,43968,37719,30441,11724,11558,40903,11350,29973,21491,55706,26436,1321,23945,3103394,7724,29910,38408,38761,28770,42319,791456,9778,15189,10767,23681,25300,9682,37277,28833,17732,39088,32501,13220,27503,16188,19583,27569,21670,28625,37595,35658,11017,1604670,7814,2859,11107,34920,1607575,24818,43491,20498,10320,36745,30548,36597,33401,9341,19862,33261,37160,22683,53021,30810,11376,25036,30276,19707,40004,37296,2153,27642,47125,33558,27643,40235,56401,27789,20755,28666,9515,1727287,43525,48636,15764,7672,57814,38394,12154,50477,41026,7640,30802,27503,24759,43320,21008,10927,20349,12271,21064,24657,21505,42811,30312,26402,54481,39313,13765,35513,2555,30652,17215,30776,6720,27885,30639,8776,30753,28826,6563,20206,28652,27948,7943,49496,46598,37569,9271,20321,19469,14354,8574,31657,10465,4124,30404,26707,1149709,8834,24966,-1,18463,30301,30482,40848,30603,12609,28151,32585,12063,9394,36500,57252,42546,7322,19859,13585,19240,23348,16344
Key Park ( butterfly and rabbits),22845,46986,32520,36310,37634,0,26885,43871,27290,34743,39670,26090,35398,28870,44652,39935,31030,32356,29189,27638,1285678,26915,31876,25472,26640,31700,43470,27292,30003,32680,15377,43739,36308,42888,27745,16708,54858,23383,44504,33776,36284,32463,28753,52464,43527,28649,25863,32305,26319,43059,22086,49349,28160,36768,58787,3118033,36098,45243,38190,30221,41834,46105,806095,27880,26639,29206,30572,26782,31453,34372,40757,24649,36078,3425,31136,33691,28094,22800,42314,60303,41689,52234,47755,26907,1619308,32333,35905,28032,21682,1640473,27552,58236,31741,43118,51384,65540,44984,45497,30981,26753,62345,34235,29574,46664,35199,26345,31927,43362,29876,96,46505,36079,34399,61871,1879,45672,1553,49370,41577,29341,41752,28437,1741925,58163,41416,23676,30304,44243,48023,34253,44316,32428,30272,43889,33691,24478,53197,29375,31879,24129,29196,35656,26381,28396,42710,43398,35639,24832,30715,30383,36825,36178,43739,43993,43862,38962,42630,43725,41017,43839,43571,39461,32859,41738,41034,29646,51988,14924,34663,27763,32459,21150,27247,31786,48605,28567,34640,43490,21615,1164347,27326,25883,-1,53306,43387,43569,23195,4011,29534,34738,3354,27284,27886,51245,32366,46332,29954,26776,30434,31570,30240,24256
National Monument,35426,26796,4618,9156,10595,27678,0,23847,2217,6122,8578,8753,7940,9387,22969,23498,9338,3417,1886,1635,1258652,9586,2824,4878,9862,6865,16444,1617,4660,3439,20448,25204,20090,22864,2310,12266,33175,5371,25470,6717,9433,7587,25847,30782,23503,1347,1225,18291,403,23035,11356,33131,13749,9615,28399,3096350,5561,22972,21971,16760,21832,25916,784412,1638,14887,1903,8689,10308,8556,18348,21896,22306,20055,29302,3234,31349,15886,9448,20632,20062,21687,30551,28721,69,1597625,6076,8300,730,38766,1613447,9826,36554,3850,12802,29701,43857,29660,26463,5638,3918,21411,18211,8732,30446,14640,428,10244,23338,2573,27199,30359,8925,12841,40188,28910,23989,27430,33152,20851,4070,21728,4135,1720242,36481,25198,5663,4961,34565,28989,11027,28098,18414,4929,23865,31349,13461,36133,4957,9800,11091,1893,8550,11970,6514,26408,23374,11601,32804,16701,2817,28575,9327,23715,10782,23838,8354,20947,23701,7569,23815,21889,10039,3109,21714,21010,4572,42559,33893,18640,2689,3279,9334,14052,7447,25252,2324,7182,23467,11097,1142664,2252,9974,-1,22917,23363,23545,28144,22794,2232,13350,29231,6727,1556,29562,39131,26143,4611,24433,2638,7512,8548,5293
Komodo Indonesian Fauna Museum and Reptile Park,51911,18972,23375,31660,32984,44628,26177,0,25855,21731,27114,22289,32240,22923,8306,14396,18304,23146,23856,24779,1274778,23122,23000,22922,22999,21261,32570,25325,32373,23662,36933,7296,18438,2118,25644,30631,23846,25730,5366,32306,31936,35288,24221,13670,397,24298,26396,16676,25612,2289,28889,31479,19844,32118,41957,3086899,28620,6105,14181,15145,1382,18092,774960,24782,40781,23685,22404,20102,33823,13050,7453,38791,14861,46252,24004,47833,37153,29732,8441,29074,1340,15573,7947,26125,1588174,34702,32135,23774,55250,1629573,20193,19442,24608,27426,20372,34528,10619,5491,33351,24203,31116,12932,22446,28794,15351,25637,15241,583,22376,44149,13069,31429,14563,23076,45860,19485,44380,31501,1452,20936,1816,32465,1710791,27152,24588,26022,32674,32914,8903,36623,26428,16799,32642,759,47833,26415,14077,22625,34249,24617,23720,19090,22210,20228,18584,2628,15803,31177,15086,23251,11285,31830,776,20113,732,27268,8757,2955,24115,709,1556,27878,22875,1449,1645,25977,25447,35757,13342,25072,22990,29618,35319,34156,17376,25347,32771,2720,31381,1133213,25244,23689,-1,36475,257,2798,30007,43586,24059,14901,46181,29649,25194,12451,37504,18319,32324,40918,23302,21909,17554,26621
Antara Gallery of Photo Journalism,35432,28780,6601,7981,9420,28341,1983,25830,0,6075,7403,8110,6765,11370,24952,25482,11321,6448,4507,1389,1257477,8936,5444,6482,11845,6818,15268,3600,5294,6771,21111,27188,22073,24847,4293,12928,35158,6033,27453,5542,8258,6412,31926,32765,25486,3967,2593,20274,2386,25018,12019,35114,15732,8439,28641,3098333,4386,24956,23955,18743,23816,27899,786395,2021,19040,4523,10672,12291,9190,20331,23879,21583,22038,29964,5217,31354,20039,10111,22615,21086,23671,32534,30704,2052,1599609,6710,7125,3350,38771,1612272,11809,38537,5833,15016,31684,35244,31643,28446,6272,5522,22435,20194,10715,32429,16623,2411,12227,25321,6720,27861,32342,7750,14824,42171,29572,25972,28092,35135,22835,7062,23712,4770,1722226,38464,27181,6325,5595,36548,30972,11662,30081,20397,5563,25848,31354,15444,38116,6941,10435,9722,4513,10533,13953,8497,28391,25357,13584,42439,18684,4800,30558,8152,25698,10735,25821,7179,22930,25684,6394,25798,23872,8864,5729,23697,22994,3397,44542,34555,20623,1514,5899,9996,18205,8082,27235,2708,6007,25450,11760,1144647,1077,11957,-1,23159,25346,25528,28806,23429,4852,15333,29893,7362,1637,31545,45209,28126,5245,23710,4621,7466,10531,5927
Museum Of M. H. Thamrin,37683,33448,4713,10232,11671,32130,3643,21033,4865,0,9654,9915,9016,10549,20156,28872,10500,3782,3848,3789,1259728,10748,3375,8175,11023,3289,17520,4914,8444,3348,24900,22391,21252,20050,5286,16718,30468,9822,22656,7793,10509,8663,27009,27968,20690,3309,5677,19453,5469,20221,15808,34292,14911,10691,28728,3093643,6637,20159,28657,17922,19019,32568,781705,3792,21291,2696,9851,11470,12873,16527,19082,23835,29337,33753,3157,33606,22290,13900,17818,20392,18874,27844,25907,5135,1594919,9860,9376,2784,41023,1614523,10988,33740,3232,13132,26994,41150,26846,23649,9423,7215,21741,16389,9893,31607,14678,5495,7887,20524,1387,31650,27545,10001,12879,37374,33362,15733,31882,34314,18038,4435,18915,8304,1717536,33774,26360,10115,8746,35727,26175,15345,40726,19576,8713,21051,33606,14623,31349,4313,14118,12253,2731,5761,13132,7675,33060,20561,11639,33965,17863,4090,25762,10403,20901,7170,21025,9430,18134,20888,8645,21002,19075,11115,2562,18900,18197,5648,39745,38345,16818,4082,3139,13786,20457,11765,18622,4357,8258,20653,15549,1139957,4255,11136,-1,23246,20550,20731,32595,27204,3069,13381,33683,11137,4205,26749,40293,32795,8395,25962,4332,3936,8621,9703
