origin,Travel Mangroove Forests,Apartemen Taman Melati,Waduk Setia Budi Timur,Aqua Fun,Jalan Pantai Karnaval Ancol,Key Park ( butterfly and rabbits),National Monument,Komodo Indonesian Fauna Museum and Reptile Park,Antara Gallery of Photo Journalism,Museum Of M. H. Thamrin,Taman Bmw,Museum Kehutanan Manggala Wanabakti,Allianz Eco Park,Al-Bina Mosque,Pancasila Sakti Monument,Taman Dadap Merah,Satriamandala Museum,Formulation of Proclamation Text Museum,Tugu Kunstkring Paleis,Irian Jaya Liberation Monument,National History Museum,Bentara Budaya Jakarta,Grand General Dr. A. H. Nasution Memorial Museum,Mausoleum OG Khouw,Taman Langsat,Proclamation of Independence Monument,Port of Tanjung Priok,National Museum,Museum Bank Indonesia,Taman Kodok Menteng,Palm Bay Water Park,CX WATER PARK,Tabebuya Park,Theater Garuda Taman Bhinneka Tunggal Ika,Jalan Jaksa,Musholla Pasar Malam CNI,Trans Snow World Juanda,Tribeca Park,Taman Maju Bersama,Taman Impian Jaya Ancol,Sea World Ancol,Sion Church,Situ Pamulang,Cibubur Park,Museum Perangko Indonesia,Ruang Pameran Mobil Antik Museum Joang 45,Taman Prasasti Museum,Museum Layang-layang Indonesia,Merdeka Square Jakarta,SS Waterpark TMII,Srengseng City Forest,Putri Duyung Waterpark,Pondok Indah Water Park,Ancol Beach Pool,Bridge of Love Taruma Jaya,Museum of East Timor,Art:1 New Museum,Taman Burung TMII,Taman Spatodhea,Basoeki Abdullah Museum,Museum Telekomunikasi,Universitas Indonesia - Danau Kenanga,East Java Pavilion,Taman Lapangan Banteng,Waterbom Pantai Indah Kapuk,Museum Kebangkitan Nasional,Museum Polri,Taman Ayodya,Waduk Pluit,Children Zoo,Taman Dukuh,Taman Wisata Alam Mangrove Angke Kapuk,Schmutzer Primate Center,Benteng Heritage Museum,Taman Menteng,Onrust Island,Muara Angke Wildlife Refuge,Church of Maria Bunda Karmel,Masjid Agung At Tin,Ants sculpture JGC,Museum Olahraga TMII,Taman Rusa Kemang Pratama,Parks Agro Tourism Cilangkap,Taman Pandang Istana,Sangga Buana,Kastil Batavia,Atlantis Water Adventure,Tugu Tani,Taman Buaya Tanjung Pasir,Pasar Seni,Nurul Iman Mosque Blok M Square,GREEN LAKE VIEW WATERPARK,Taman Suropati,Yerushalayim Bible Artefacts Museum,Hutan Kota Patriot Bina Bangsa Kota Bekasi,GO! Splash waterpark,Taman O,Kosan Muslimah Taman Cempaka,Museum of Fine Art and Ceramics,Museum of Textile,Waterpark Transera,Ragunan Zoo,Hutan Kota GBK,Setu Asih Pulo,Salihara Arts Center,Monas Dancing Fountain,Monumen Patung Dirgantara,Central Java Pavilion,Museum Sumpah Pemuda,Taman Potret,Setu Pedongkelan,Ocean Dream Samudra - Ancol,COMO Park,Eldorado Waterpark Legenda Wisata,Situ Gede Tangerang,Taman Swakarsa,Taman Gajah Tunggal,Taman Wisata Pasir Putih,Taman Mini Indonesia Indah,Taman Tangkuban Perahu,SnowBay Waterpark TMII,Dharma Bhakti Temple,Merdeka Palace,Venetian Water Carnaval,Taman Pemuda Pratama,skyrink Jakarta - Mall Taman Anggrek,Wayang Museum,Pondok Zidane,Sirkus Indoor Waterpark,Pelabuhan Perikanan Samudera Nizam Zachman,Taman Lembah Gurame,Taman Gunung Balong,Jakarta History Museum,Dunia Serangga,Pulau Bidadari,Kampung Main Cipulir,Curug Parigi,Sasmita Loka Ahmad Yani Museum,Taman Waduk Pluit,Taman Kota "Cattleya",Jakarta Planetarium,Masjid Al-Bakrie Taman Rasuna Jakarta,IMAGISPACE,Kidzania Jakarta,Setu Babakan,Taman Ria Atmaja,Playparq Kemang,Arina WaterPark,Museum Reksa Artha,Bartele Gallery,Taman Sepat,GONDOLA ANCOL STASIUN C,Dinosaur Adventure,Aditya Jaya Temple,Museum Pusaka,Danau Hutan Kota Kemayoran,Bayt Al Quran dan Museum Istiqlal,Taman Budaya Tionghoa,Danau Sunter Barat,Museum Keprajuritan Indonesia,Planetarium skyworld tmii,HUTAN KOTA WADUK CINCIN,Pasar Barang Antik,Indonesia Museum,Purna Bhakti Pertiwi Museum,Galeria Sophilia,Depok Fantasi Waterpark - Aladdin,JPG MTB PARK (MTB MEETING POINT) Jalur Pipa Gas MTB Community,Pesona Aquarium Kebagusan,Jakarta Cathedral,Taman Situ Lembang,Museum MACAN (Modern and Contemporary Art in Nusantara),Mangrove Ecotourism Centre PIK,Jakarta Bahari Museum,Pura Agung Tirta Bhuana Bekasi,National Gallery of Indonesia,Dunia Fantasi,Museum Listrik & Energi Baru TMII,Akili Museum of Art,Sarmiento Parakantja Timber,Jalan Gedung Kesenian,Taman Puring Market,Nofri kasur,Marunda Beach,Museum Transportasi,Pusat Peragaan Iptek - Kemenristekdikti,Kandank Jurank Doank,Taman Elektrik,Taman Ismail Marzuki,Dia.lo.gue,Boen Tek Bio Chinese Temple,Air Mancur Waduk Grogol,Istiqlal Mosque,Trans Studio Theme Park Cibubur,Taman Herbal Insani,UI Park,Museum Mandiri,Akses Hutan Lindung Angke Kapuk,Selamat Datang Monument,Jakarta,Pusat Kebudayaan Belanda Erasmus Huis,Museum Tragedi 12 Mei 1998 Universitas Trisakti
Travel Mangroove Forests,0,5084,4035,3585,3818,3574,3764,4839,3962,4285,3664,3587,3536,3649,4628,4734,3780,4031,3980,3861,226327,3752,3946,3499,3907,4293,5735,3733,3331,4081,3115,4699,4206,4685,3770,3052,5089,3535,4703,3288,3633,3504,4557,4859,4819,3906,3727,4089,3710,4710,3487,5841,4025,3659,5561,296255,3589,4833,4515,3769,4416,5099,35042,3928,3050,4017,3738,3906,3338,4156,4437,2358,4322,3244,3864,1350,3204,3791,4298,5180,4388,4980,5007,3891,160535,3341,3568,3818,1205,239485,4075,5241,3918,3894,4780,6680,5266,4697,3343,3645,5523,4135,3696,5475,4210,3712,3698,4750,4184,3446,5272,3549,4109,5983,3527,4636,3401,5867,4361,3980,4487,3667,162972,5699,4624,3527,3373,6116,4963,3788,5129,4165,3383,4883,1350,3819,5891,3974,3285,3622,4004,4189,3939,3536,5153,4756,4260,5344,3861,3749,4249,3599,4817,4182,4875,3621,4355,4818,4017,4869,4569,3928,4079,4476,4325,3691,5890,4382,4197,3873,4065,3398,3023,3213,4621,4001,3393,4775,3350,131539,3827,3787,-1,4860,4769,4825,4100,3046,4102,4152,3289,3232,3886,4689,5959,5106,3323,3071,3728,4257,3731,3563
Apartemen Taman Melati,4604,0,2287,2741,2974,2774,2355,2011,2636,2299,2835,1900,2827,2029,1804,685,1732,2238,2394,2563,225121,2082,2272,1995,1932,2172,4530,2278,2511,2374,2624,1307,925,1856,2366,2093,2813,2170,1554,2601,2793,2831,2079,1040,1991,2503,2413,1339,2301,1882,1999,2148,1541,2815,4115,293942,2748,1921,713,1200,1603,376,32729,2563,2494,2552,1825,1856,2651,1128,1562,2319,1234,3038,2165,3623,2643,2461,1470,3025,1574,2524,1534,2575,158221,2655,2806,2450,4632,238280,1939,991,2251,2600,2504,4458,1126,1708,2664,2141,3444,907,2014,1783,1187,2303,1465,1922,2310,2703,624,2705,1267,2339,2939,2329,2720,1925,1468,2163,1658,2865,160658,3423,880,2162,2570,2173,2051,3101,968,1414,2562,2055,3623,2101,2685,2190,2598,1979,2420,2014,1842,1796,612,1927,1418,2885,1111,2050,875,2760,1989,2150,2047,2911,1526,1989,2645,2040,1744,2783,2244,1648,1497,2659,1237,2432,1169,2590,2272,2277,2567,2526,2206,2606,2707,1947,2325,129225,2629,1966,-1,3414,1941,1997,2150,3003,2518,1310,3015,2430,2552,1044,2845,383,2503,2526,2030,2173,1732,2119
Waduk Setia Budi Timur,3799,2325,0,1562,1795,2009,540,1751,821,862,1527,561,1512,628,1540,2106,633,518,589,748,224353,743,432,656,874,764,3761,463,1033,568,1970,1802,1537,1596,552,1167,2000,833,1653,1265,1609,1353,2332,1771,1730,688,598,1473,486,1622,1284,3172,1165,1636,3477,293167,1252,1768,1846,1334,1342,2340,31954,748,1440,799,561,815,1315,1532,1580,1470,1698,2272,350,2818,1549,1124,1210,2351,1314,1891,1958,761,157446,1309,1544,599,3827,237511,862,2152,405,1809,1691,3645,2216,1647,1186,636,2770,1511,577,2806,1485,488,609,1661,873,1938,2362,1526,1240,2895,2173,1547,1954,3198,1208,488,1398,1057,159883,2610,1955,826,1092,3447,1914,1765,2460,1548,1084,1795,2818,1356,2773,483,1261,642,615,719,1079,359,2523,1667,1079,3138,1245,235,1745,1576,1728,1218,1787,1553,1266,1729,1645,1780,1480,1796,565,1388,1236,1163,2889,2469,1573,861,551,988,1367,1189,1554,822,1370,1687,1252,128450,814,755,-1,2776,1680,1737,2188,2348,714,1271,2250,1093,737,1600,3734,2347,1025,1677,215,766,584,783
Aqua Fun,3938,3116,1988,0,284,2818,1500,2516,1442,1702,791,1686,531,1748,2305,2995,1879,1855,1738,1341,223456,1851,1829,1598,2150,1613,2864,1729,1105,1962,2234,2567,2876,2361,1828,1872,2800,1719,2419,831,497,1123,3377,2536,2496,1664,1628,2779,1575,2387,2181,4510,2333,70,2911,293966,962,2534,2853,2589,2108,3130,32753,1408,1578,1434,1837,2091,1282,2634,2346,1609,2706,3028,1865,2957,1687,2076,1975,2529,2079,2691,2723,1544,158246,1164,510,1575,3966,236615,2138,2917,1875,1214,2491,4030,2981,2412,1188,1744,2844,2632,1795,4145,2636,1577,1797,2427,1714,2747,3128,409,2487,3660,2964,2207,2764,4430,1973,1931,2163,1502,160683,3410,3107,1711,1164,4679,2613,1705,3473,2855,1156,2560,2957,2531,3497,1931,1375,1721,1762,2087,2247,1635,3313,2432,2326,4164,2551,1897,2510,464,2494,1503,2552,966,2031,2494,1362,2545,2245,1057,1830,2153,2002,1036,3654,3202,2675,1354,1899,1939,1506,1120,2137,1481,730,2452,2170,129250,1307,2031,-1,2210,2446,2502,2920,2655,1860,2517,3074,1321,1366,2366,4779,3138,1097,1816,1850,1708,1830,1746
Jalan Pantai Karnaval Ancol,3891,3069,1942,343,0,2772,1453,2469,1395,1656,744,1639,484,1701,2258,2948,1833,1808,1691,1295,223409,1804,1782,1551,2103,1567,2817,1682,1058,1916,2187,2521,2829,2315,1781,1826,2753,1672,2372,784,450,1077,3330,2489,2449,1617,1581,2732,1528,2340,2134,4464,2286,244,2864,293919,915,2487,2806,2542,2061,3084,32707,1361,1531,1387,1790,2044,1235,2588,2299,1562,2659,2981,1818,2910,1640,2029,1928,2482,2032,2644,2676,1497,158199,1117,464,1529,3919,236568,2091,2870,1829,1167,2444,3983,2935,2366,1141,1697,2797,2586,1748,4098,2589,1530,1750,2380,1667,2701,3081,362,2440,3613,2918,2160,2717,4383,1926,1884,2117,1455,160636,3363,3060,1664,1117,4632,2566,1659,3426,2808,1110,2513,2910,2485,3450,1884,1328,1675,1715,2040,2200,1588,3266,2386,2279,4117,2504,1850,2464,417,2447,1456,2505,919,1985,2448,1315,2499,2198,1010,1783,2106,1955,989,3607,3155,2629,1307,1853,1892,1459,1073,2090,1435,684,2405,2123,129203,1260,1984,-1,2163,2399,2455,2874,2608,1813,2471,3027,1274,1319,2319,4733,3091,1050,1769,1803,1662,1783,1700
Key Park ( butterfly and rabbits),3534,3233,2223,2325,2558,0,1913,2988,1962,2563,2404,1775,2276,1837,2817,2882,1969,2220,2168,1989,225067,1941,2134,1687,2055,2444,4475,1922,1937,2269,1852,2848,2354,2834,1958,1231,3277,1523,2851,2028,2372,2257,2436,3048,2968,2094,1846,2237,1859,2859,1635,3989,2174,2399,4301,294444,2329,2981,2663,1917,2564,3247,33231,2021,1766,2206,1926,2054,2078,2305,2586,1592,2470,519,2052,2896,1915,1703,2487,3628,2536,3169,3156,1921,158724,2081,2307,2006,2939,238225,2223,3429,2106,2633,2968,4923,3414,2845,2090,1833,4047,2284,1884,3623,2359,1861,1887,2899,2373,12,3421,2289,2258,4172,262,2824,201,4016,2509,2168,2636,2191,161160,3888,2773,1515,1997,4231,3111,2528,3277,2313,1989,3032,2896,1968,4039,2163,2025,1728,2192,2378,2088,1725,3302,2905,2408,2867,2009,1937,2397,2339,2966,2659,3024,2360,2543,2967,2756,3018,2757,2667,2267,2625,2474,2304,4039,1499,2346,2001,2253,1386,1840,1952,2809,2094,2133,2924,1493,129727,1955,1935,-1,3600,2918,2974,1662,426,2290,2301,496,1861,2014,2877,3813,3255,1929,1799,1917,2446,1920,1551
National Monument,3868,2627,601,1130,1248,1927,0,2052,234,675,939,863,1126,930,1841,2408,934,504,305,169,223765,1045,397,641,1176,748,3174,193,595,521,1888,2104,1838,1898,292,1086,2302,784,1955,862,1182,882,2633,2072,2032,231,161,1774,39,1923,1148,3473,1467,1204,3051,293468,665,2070,2148,1635,1644,2641,32255,169,1551,342,863,1117,1154,1834,1882,1583,2000,2191,430,2887,1661,1043,1511,2426,1615,2193,2259,8,157748,871,1175,143,3896,236924,1164,2453,493,1382,1993,3947,2517,1949,749,480,2628,1813,878,3107,1786,42,911,1963,509,1856,2664,1094,1542,3196,2092,1849,1873,3500,1509,647,1700,620,160185,2912,2257,776,655,3749,2215,1577,2761,1850,647,2096,2887,1658,3075,642,1247,944,329,1020,1381,661,2824,1968,1381,3439,1546,361,2046,1149,2030,1106,2088,966,1567,2030,1058,2082,1781,1208,473,1689,1538,576,3190,2392,1875,273,518,906,1479,992,1855,242,984,1988,1171,128752,227,1056,-1,2350,1982,2038,2111,2380,427,1572,2168,935,158,1902,4036,2649,587,1790,315,843,885,666
Komodo Indonesian Fauna Museum and Reptile Park,4598,1670,1882,2179,2412,2769,1991,0,2117,1738,2273,1537,2265,1665,1101,1549,1327,1890,2016,1990,224560,1718,1867,1631,1926,1649,3968,1914,2147,1998,2619,969,1430,381,2003,2088,1848,1806,765,2199,2232,2492,2073,1195,94,1997,2049,1333,1937,406,1994,3065,1535,2254,3150,292977,2186,895,1407,1194,223,1685,31764,1991,2488,1991,1634,1850,2287,1189,1026,2313,1260,3032,1801,3617,2521,2097,909,2060,216,1559,1058,2181,157257,2291,2245,1920,4626,237719,1933,1577,1855,2039,1539,3494,1469,763,2300,1777,2479,1187,1650,2699,1355,1939,1201,90,1749,2698,1682,2143,1261,2319,2933,1617,2714,3091,243,1900,304,2501,159694,2459,1766,1798,2206,3340,1086,2738,2132,1409,2198,158,3617,2095,2014,1813,2234,1615,2065,1750,1836,1432,1867,452,1412,2879,1105,1686,1064,2198,120,1588,150,2349,965,514,2084,143,284,2221,1865,267,270,2098,2313,2426,1230,2029,1935,1960,2340,2162,1241,2044,2321,471,2225,128261,2069,1828,-1,2449,43,521,2145,2997,2163,1304,3009,2066,2041,1025,3476,1692,2139,2520,1666,1744,1328,1756
Antara Gallery of Photo Journalism,4003,2900,874,1069,1186,2070,273,2325,0,751,878,1099,1065,1203,2114,2681,1207,879,596,200,223704,1264,687,871,1449,824,3112,467,724,929,2030,2377,2112,2171,565,1228,2575,926,2228,800,1121,821,2709,2345,2305,522,365,2047,312,2196,1290,3746,1740,1143,3159,293741,604,2343,2421,1909,1917,2915,32528,266,1643,633,1136,1390,1283,2107,2155,1674,2273,2333,704,3022,1752,1185,1784,2531,1888,2466,2532,282,158021,1000,1114,434,4031,236863,1437,2727,766,1462,2266,4278,2791,2222,877,709,2733,2086,1152,3381,2060,315,1184,2236,763,1999,2937,1033,1815,3469,2234,2122,2015,3773,1783,977,1973,748,160458,3185,2530,918,783,4022,2488,1706,3035,2123,776,2369,3022,1931,3348,915,1375,1164,620,1294,1654,934,3097,2242,1654,3496,1819,634,2320,1088,2303,1182,2361,905,1841,2304,997,2355,2055,1147,764,1962,1811,515,3463,2534,2148,212,809,1048,1571,1120,2129,340,923,2261,1313,129025,166,1330,-1,2458,2255,2311,2253,2509,718,1846,2310,1064,224,2175,4112,2922,716,1881,588,919,1158,795
Museum Of M. H. Thamrin,4264,2677,676,1330,1448,2488,508,2077,573,0,1139,1161,1326,1228,1866,2556,1232,547,528,446,223965,1343,520,1118,1474,582,3374,671,1066,524,2448,2128,2137,1922,699,1646,2360,1344,1980,1062,1382,1082,2931,2097,2057,453,721,2072,668,1948,1708,3771,1765,1404,3095,293527,865,2095,2414,1934,1668,2691,32314,447,1905,447,1161,1415,1645,2151,1907,1935,2267,2751,473,3283,2014,1603,1536,2471,1640,2252,2284,637,157807,1342,1375,376,4292,237124,1462,2478,505,1427,2052,4006,2542,1973,1219,957,2673,2130,1177,3406,1893,670,1151,1988,205,2417,2689,1294,1648,3221,2652,1789,2433,3798,1534,689,1724,1155,160244,2971,2555,1336,1126,4047,2240,2069,3034,2148,1118,2121,3283,1956,3168,622,1738,1242,521,1055,1679,959,2874,1993,1487,3738,1844,649,2071,1349,2055,911,2113,1166,1592,2055,1258,2106,1806,1408,391,1714,1563,776,3215,2953,2192,485,532,1466,1832,1483,1987,501,1184,2013,1731,128811,525,1355,-1,2394,2006,2063,2671,2902,619,1718,2728,1457,497,1926,4334,2699,1058,2142,676,677,1049,1188
